question,answer
"What's the rent at 345 Seventh Avenue, Suite B?",$103.00/SF/year. Monthly Rent is $152749. Broker: Elizabeth Swann (test1@okadaco.com)
"What's the rent at 345 Seventh Avenue, Suite A?",$110.00/SF/year. Monthly Rent is $150068. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 129-133 W 27th St, Suite 804?",$110.00/SF/year. Monthly Rent is $145649. Broker: Elizabeth Swann (test1@okadaco.com)
"What's the rent at 99 University Pl, Suite 203?",$91.00/SF/year. Monthly Rent is $77449. Broker: Hector Barbossa (test1@okadaco.com)
"What's the rent at 99 University Pl, Suite 205/206?",$104.00/SF/year. Monthly Rent is $137029. Broker: Hector Barbossa (test1@okadaco.com)
"What's the rent at 99 University Pl, Suite 400?",$86.00/SF/year. Monthly Rent is $138761. Broker: James Norrington (test1@okadaco.com)
"What's the rent at 99 University Pl, Suite 600?",$83.00/SF/year. Monthly Rent is $67880. Broker: Tia Dalma (test1@okadaco.com)
"What's the rent at 99 University Pl, Suite 800?",$86.00/SF/year. Monthly Rent is $112925. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 99 University Pl, Suite 1000?",$92.00/SF/year. Monthly Rent is $69958. Broker: James Norrington (test1@okadaco.com)
"What's the rent at 552 Seventh Ave, Suite 500?",$91.00/SF/year. Monthly Rent is $82120. Broker: Cutler Beckett (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 200?",$91.00/SF/year. Monthly Rent is $76531. Broker: James Norrington (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 300?",$88.00/SF/year. Monthly Rent is $98201. Broker: Tia Dalma (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 3C?",$94.00/SF/year. Monthly Rent is $147972. Broker: Cutler Beckett (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 3A?",$101.00/SF/year. Monthly Rent is $119416. Broker: Joshamee Gibbs (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 3B?",$100.00/SF/year. Monthly Rent is $81167. Broker: Will Turner (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 405?",$99.00/SF/year. Monthly Rent is $101327. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 700?",$98.00/SF/year. Monthly Rent is $145816. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 1203?",$93.00/SF/year. Monthly Rent is $139957. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 1802?",$110.00/SF/year. Monthly Rent is $144458. Broker: Bootstrap Bill (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 1902?",$103.00/SF/year. Monthly Rent is $103532. Broker: Joshamee Gibbs (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 2000?",$109.00/SF/year. Monthly Rent is $138148. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 2102?",$99.00/SF/year. Monthly Rent is $138353. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 9 Times Sq, Suite 2101?",$81.00/SF/year. Monthly Rent is $88297. Broker: Elizabeth Swann (test1@okadaco.com)
"What's the rent at 145 E 32nd St, Suite BSMT?",$89.00/SF/year. Monthly Rent is $137164. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 145 E 32nd St, Suite RETL?",$109.00/SF/year. Monthly Rent is $142018. Broker: Joshamee Gibbs (test1@okadaco.com)
"What's the rent at 145 E 32nd St, Suite RETL?",$88.00/SF/year. Monthly Rent is $113916. Broker: Tia Dalma (test1@okadaco.com)
"What's the rent at 145 E 32nd St, Suite MEZZ?",$81.00/SF/year. Monthly Rent is $80811. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 145 E 32nd St, Suite 1100?",$85.00/SF/year. Monthly Rent is $94740. Broker: Bootstrap Bill (test1@okadaco.com)
"What's the rent at 145 E 32nd St, Suite 1200?",$93.00/SF/year. Monthly Rent is $77950. Broker: Hector Barbossa (test1@okadaco.com)
"What's the rent at 173 Elizabeth St, Suite 1008?",$95.00/SF/year. Monthly Rent is $83046. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 759 Grand St, Suite 566?",$88.00/SF/year. Monthly Rent is $138879. Broker: Cutler Beckett (test1@okadaco.com)
"What's the rent at 340 Lexington Ave, Suite 1077?",$90.00/SF/year. Monthly Rent is $101543. Broker: James Norrington (test1@okadaco.com)
"What's the rent at 3 E 17th St, Suite 540?",$97.00/SF/year. Monthly Rent is $143980. Broker: Hector Barbossa (test1@okadaco.com)
"What's the rent at 53 E 34th St, Suite 516?",$110.00/SF/year. Monthly Rent is $119066. Broker: Joshamee Gibbs (test1@okadaco.com)
"What's the rent at 206 W 23rd St, Suite 588?",$93.00/SF/year. Monthly Rent is $80740. Broker: Elizabeth Swann (test1@okadaco.com)
"What's the rent at 226 E 54th St, Suite 502?",$106.00/SF/year. Monthly Rent is $98165. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 315 Fifth Ave, Suite 703B?",$102.00/SF/year. Monthly Rent is $138567. Broker: Bootstrap Bill (test1@okadaco.com)
"What's the rent at 315 Fifth Ave, Suite 800?",$103.00/SF/year. Monthly Rent is $115145. Broker: Hector Barbossa (test1@okadaco.com)
"What's the rent at 315 Fifth Ave, Suite 906?",$85.00/SF/year. Monthly Rent is $94336. Broker: Bootstrap Bill (test1@okadaco.com)
"What's the rent at 315 Fifth Ave, Suite 904?",$105.00/SF/year. Monthly Rent is $138775. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 347 5th Ave, Suite 700?",$110.00/SF/year. Monthly Rent is $130588. Broker: Elizabeth Swann (test1@okadaco.com)
"What's the rent at 347 5th Ave, Suite 1108?",$103.00/SF/year. Monthly Rent is $170362. Broker: Will Turner (test1@okadaco.com)
"What's the rent at 347 5th Ave, Suite 1303?",$89.00/SF/year. Monthly Rent is $142949. Broker: Bootstrap Bill (test1@okadaco.com)
"What's the rent at 347 5th Ave, Suite 1407?",$90.00/SF/year. Monthly Rent is $132953. Broker: Will Turner (test1@okadaco.com)
"What's the rent at 224 W 30th St, Suite 204?",$83.00/SF/year. Monthly Rent is $120509. Broker: Tia Dalma (test1@okadaco.com)
"What's the rent at 224 W 30th St, Suite 308?",$92.00/SF/year. Monthly Rent is $119539. Broker: Bootstrap Bill (test1@okadaco.com)
"What's the rent at 224 W 30th St, Suite 501?",$96.00/SF/year. Monthly Rent is $86184. Broker: Joshamee Gibbs (test1@okadaco.com)
"What's the rent at 224 W 30th St, Suite 502?",$96.00/SF/year. Monthly Rent is $153592. Broker: Elizabeth Swann (test1@okadaco.com)
"What's the rent at 224 W 30th St, Suite 602?",$107.00/SF/year. Monthly Rent is $101338. Broker: Tia Dalma (test1@okadaco.com)
"What's the rent at 224 W 35th St, Suite 204?",$104.00/SF/year. Monthly Rent is $101097. Broker: Will Turner (test1@okadaco.com)
"What's the rent at 224 W 35th St, Suite 710B?",$103.00/SF/year. Monthly Rent is $125300. Broker: Bootstrap Bill (test1@okadaco.com)
"What's the rent at 224 W 35th St, Suite 1300?",$102.00/SF/year. Monthly Rent is $115379. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 650 Broadway, Suite 500?",$106.00/SF/year. Monthly Rent is $150962. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 1674 Broadway, Suite 300?",$88.00/SF/year. Monthly Rent is $106348. Broker: Jack Sparrow (test1@okadaco.com)
"What's the rent at 1674 Broadway, Suite 600?",$105.00/SF/year. Monthly Rent is $133123. Broker: Will Turner (test1@okadaco.com)
"What's the rent at 1674 Broadway, Suite A?",$89.00/SF/year. Monthly Rent is $144848. Broker: Davy Jones (test1@okadaco.com)
"What's the rent at 1674 Broadway, Suite B?",$110.00/SF/year. Monthly Rent is $164808. Broker: Will Turner (test1@okadaco.com)
"What's the rent at 1674 Broadway, Suite 6A-2?",$84.00/SF/year. Monthly Rent is $123746. Broker: Tia Dalma (test1@okadaco.com)
"What's the rent at 1674 Broadway, Suite 6A-1?",$84.00/SF/year. Monthly Rent is $112721. Broker: James Norrington (test1@okadaco.com)
"What's the rent at 1674 Broadway, Suite B-2?",$91.00/SF/year. Monthly Rent is $129948. Broker: Tia Dalma (test1@okadaco.com)
"What's the rent at 1674 Broadway, Suite B-1?",$90.00/SF/year. Monthly Rent is $84690. Broker: Tia Dalma (test2@okadaco.com)
"What's the rent at 1674 Broadway, Suite 700?",$86.00/SF/year. Monthly Rent is $72770. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 1674 Broadway, Suite 800?",$98.00/SF/year. Monthly Rent is $77159. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 1674 Broadway, Suite 900?",$83.00/SF/year. Monthly Rent is $87364. Broker: James Norrington (test2@okadaco.com)
"What's the rent at 183 Bowery, Suite 1073?",$96.00/SF/year. Monthly Rent is $137648. Broker: Bootstrap Bill (test2@okadaco.com)
"What's the rent at 25 E 21st St, Suite 500?",$103.00/SF/year. Monthly Rent is $127634. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 25 E 21st St, Suite 600?",$98.00/SF/year. Monthly Rent is $100336. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 25 E 21st St, Suite 901?",$102.00/SF/year. Monthly Rent is $110449. Broker: Bootstrap Bill (test2@okadaco.com)
"What's the rent at 25 E 21st St, Suite 900?",$100.00/SF/year. Monthly Rent is $146583. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 25 E 21st St, Suite 1000?",$104.00/SF/year. Monthly Rent is $91988. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 113 University Pl, Suite 600?",$109.00/SF/year. Monthly Rent is $175436. Broker: Bootstrap Bill (test2@okadaco.com)
"What's the rent at 113 University Pl, Suite 700?",$94.00/SF/year. Monthly Rent is $108750. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 155 E 55th St, Suite 203?",$85.00/SF/year. Monthly Rent is $112774. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 155 E 55th St, Suite 303A?",$101.00/SF/year. Monthly Rent is $78485. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 155 E 55th St, Suite 300A?",$83.00/SF/year. Monthly Rent is $95409. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 155 E 55th St, Suite 5I?",$91.00/SF/year. Monthly Rent is $138237. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 155 E 55th St, Suite 5J?",$107.00/SF/year. Monthly Rent is $92796. Broker: Joshamee Gibbs (test2@okadaco.com)
"What's the rent at 155 E 55th St, Suite 6H?",$90.00/SF/year. Monthly Rent is $114285. Broker: James Norrington (test2@okadaco.com)
"What's the rent at 155 E 55th St, Suite 6K?",$83.00/SF/year. Monthly Rent is $89267. Broker: Tia Dalma (test2@okadaco.com)
"What's the rent at 155 E 55th St, Suite 6A?",$92.00/SF/year. Monthly Rent is $129804. Broker: Tia Dalma (test2@okadaco.com)
"What's the rent at 19 W 21st St, Suite 803?",$95.00/SF/year. Monthly Rent is $107770. Broker: Will Turner (test2@okadaco.com)
"What's the rent at 19 W 21st St, Suite 905?",$87.00/SF/year. Monthly Rent is $89480. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 121-127 W 27th St, Suite 501?",$91.00/SF/year. Monthly Rent is $149020. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 121-127 W 27th St, Suite 702?",$82.00/SF/year. Monthly Rent is $99890. Broker: Joshamee Gibbs (test2@okadaco.com)
"What's the rent at 124 W 36th St, Suite 200?",$81.00/SF/year. Monthly Rent is $101304. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 124 W 36th St, Suite 300?",$105.00/SF/year. Monthly Rent is $98228. Broker: Joshamee Gibbs (test2@okadaco.com)
"What's the rent at 124 W 36th St, Suite 700?",$95.00/SF/year. Monthly Rent is $83038. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 301 E Houston St, Suite 100?",$101.00/SF/year. Monthly Rent is $78704. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 365-369 Seventh Ave, Suite 201?",$95.00/SF/year. Monthly Rent is $115100. Broker: Bootstrap Bill (test2@okadaco.com)
"What's the rent at 365-369 Seventh Ave, Suite 301?",$94.00/SF/year. Monthly Rent is $90608. Broker: Will Turner (test2@okadaco.com)
"What's the rent at 135 W 36th St, Suite 600?",$108.00/SF/year. Monthly Rent is $126261. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 135 W 36th St, Suite 900?",$100.00/SF/year. Monthly Rent is $117217. Broker: Hector Barbossa (test2@okadaco.com)
"What's the rent at 135 W 36th St, Suite 1300?",$80.00/SF/year. Monthly Rent is $83220. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 135 W 36th St, Suite 17N?",$99.00/SF/year. Monthly Rent is $164324. Broker: Bootstrap Bill (test2@okadaco.com)
"What's the rent at 269 W 39th St, Suite 810?",$103.00/SF/year. Monthly Rent is $115935. Broker: Tia Dalma (test2@okadaco.com)
"What's the rent at 261 E 78th St, Suite 632?",$85.00/SF/year. Monthly Rent is $105931. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 13 E 16th St, Suite 684?",$86.00/SF/year. Monthly Rent is $132605. Broker: Hector Barbossa (test2@okadaco.com)
"What's the rent at 21-23 W 39th St, Suite 1031?",$106.00/SF/year. Monthly Rent is $115196. Broker: Tia Dalma (test2@okadaco.com)
"What's the rent at 111 W 24th St, Suite RETL?",$84.00/SF/year. Monthly Rent is $63070. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 111 W 24th St, Suite 400?",$89.00/SF/year. Monthly Rent is $120462. Broker: Will Turner (test2@okadaco.com)
"What's the rent at 111 W 24th St, Suite 501?",$95.00/SF/year. Monthly Rent is $79175. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 111 W 24th St, Suite 700?",$89.00/SF/year. Monthly Rent is $136667. Broker: James Norrington (test2@okadaco.com)
"What's the rent at 315 W 35th St, Suite 400?",$89.00/SF/year. Monthly Rent is $69353. Broker: Bootstrap Bill (test2@okadaco.com)
"What's the rent at 315 W 35th St, Suite 503?",$90.00/SF/year. Monthly Rent is $88568. Broker: Tia Dalma (test2@okadaco.com)
"What's the rent at 315 W 35th St, Suite 700?",$94.00/SF/year. Monthly Rent is $92762. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 315 W 35th St, Suite 8000?",$107.00/SF/year. Monthly Rent is $91512. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 315 W 35th St, Suite 9000?",$101.00/SF/year. Monthly Rent is $107809. Broker: James Norrington (test2@okadaco.com)
"What's the rent at 315 W 35th St, Suite 1000?",$97.00/SF/year. Monthly Rent is $91237. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 25 W 39th St, Suite 200?",$95.00/SF/year. Monthly Rent is $108775. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 25 W 39th St, Suite 300?",$80.00/SF/year. Monthly Rent is $108547. Broker: Hector Barbossa (test2@okadaco.com)
"What's the rent at 1162 Broadway, Suite 400?",$100.00/SF/year. Monthly Rent is $122300. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 1162 Broadway, Suite 600?",$110.00/SF/year. Monthly Rent is $118232. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 1162 Broadway, Suite 700?",$105.00/SF/year. Monthly Rent is $122658. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 1271-1273 Broadway, Suite P4?",$105.00/SF/year. Monthly Rent is $164343. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 139 Fifth Ave, Suite 200?",$86.00/SF/year. Monthly Rent is $116179. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 139 Fifth Ave, Suite 500?",$82.00/SF/year. Monthly Rent is $125624. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 139 Fifth Ave, Suite 600?",$99.00/SF/year. Monthly Rent is $129203. Broker: Tia Dalma (test2@okadaco.com)
"What's the rent at 104-110 E 40th St, Suite 903?",$95.00/SF/year. Monthly Rent is $71804. Broker: Tia Dalma (test2@okadaco.com)
"What's the rent at 22 W 32nd St, Suite 900?",$93.00/SF/year. Monthly Rent is $81553. Broker: Bootstrap Bill (test2@okadaco.com)
"What's the rent at 22 W 32nd St, Suite 1000?",$102.00/SF/year. Monthly Rent is $119629. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 22 W 32nd St, Suite 1100?",$98.00/SF/year. Monthly Rent is $119503. Broker: James Norrington (test2@okadaco.com)
"What's the rent at 22 W 32nd St, Suite 1400?",$96.00/SF/year. Monthly Rent is $158816. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 137 W 19th St, Suite 640?",$81.00/SF/year. Monthly Rent is $111659. Broker: Bootstrap Bill (test2@okadaco.com)
"What's the rent at 147-149 W 46th St, Suite 594?",$89.00/SF/year. Monthly Rent is $110746. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 28 W 30th St, Suite 302?",$80.00/SF/year. Monthly Rent is $87660. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 29 W 36th St, Suite 401?",$106.00/SF/year. Monthly Rent is $128313. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 29 W 36th St, Suite 5E?",$82.00/SF/year. Monthly Rent is $101851. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 29 W 36th St, Suite 5T?",$86.00/SF/year. Monthly Rent is $118014. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 29 W 36th St, Suite 5W?",$100.00/SF/year. Monthly Rent is $163708. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 29 W 36th St, Suite 804?",$93.00/SF/year. Monthly Rent is $123357. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 16 E 52nd St, Suite 403?",$106.00/SF/year. Monthly Rent is $84623. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 16 E 52nd St, Suite 702?",$87.00/SF/year. Monthly Rent is $102653. Broker: James Norrington (test2@okadaco.com)
"What's the rent at 16 E 52nd St, Suite E15?",$98.00/SF/year. Monthly Rent is $97036. Broker: Davy Jones (test2@okadaco.com)
"What's the rent at 16 E 52nd St, Suite E16?",$109.00/SF/year. Monthly Rent is $112751. Broker: Joshamee Gibbs (test2@okadaco.com)
"What's the rent at 500 Fifth Ave, Suite 4200?",$93.00/SF/year. Monthly Rent is $138632. Broker: Cutler Beckett (test2@okadaco.com)
"What's the rent at 11 W 25th St, Suite RETL?",$92.00/SF/year. Monthly Rent is $86587. Broker: James Norrington (test2@okadaco.com)
"What's the rent at 11 W 25th St, Suite 400?",$91.00/SF/year. Monthly Rent is $140777. Broker: Bootstrap Bill (test2@okadaco.com)
"What's the rent at 11 W 25th St, Suite 700?",$104.00/SF/year. Monthly Rent is $103471. Broker: Joshamee Gibbs (test2@okadaco.com)
"What's the rent at 11 W 25th St, Suite 1100?",$86.00/SF/year. Monthly Rent is $88222. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 40 W 37th St, Suite Store A?",$107.00/SF/year. Monthly Rent is $115355. Broker: Will Turner (test2@okadaco.com)
"What's the rent at 535-547 W 45th St, Suite 800?",$97.00/SF/year. Monthly Rent is $138104. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 255 Fifth Ave, Suite 300?",$96.00/SF/year. Monthly Rent is $98240. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 255 Fifth Ave, Suite 400?",$87.00/SF/year. Monthly Rent is $99332. Broker: Will Turner (test2@okadaco.com)
"What's the rent at 255 Fifth Ave, Suite 500?",$91.00/SF/year. Monthly Rent is $139238. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 227-229 W 29th St, Suite 3F?",$82.00/SF/year. Monthly Rent is $83278. Broker: Joshamee Gibbs (test2@okadaco.com)
"What's the rent at 227-229 W 29th St, Suite 4R?",$109.00/SF/year. Monthly Rent is $87763. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 227-229 W 29th St, Suite 700?",$80.00/SF/year. Monthly Rent is $113747. Broker: Hector Barbossa (test2@okadaco.com)
"What's the rent at 227-229 W 29th St, Suite 1200?",$87.00/SF/year. Monthly Rent is $113593. Broker: Elizabeth Swann (test2@okadaco.com)
"What's the rent at 53 Pearl St, Suite 200?",$85.00/SF/year. Monthly Rent is $65811. Broker: Joshamee Gibbs (test2@okadaco.com)
"What's the rent at 53 Pearl St, Suite 400?",$85.00/SF/year. Monthly Rent is $117555. Broker: Joshamee Gibbs (test2@okadaco.com)
"What's the rent at 247 W 30th St, Suite 2F?",$104.00/SF/year. Monthly Rent is $108897. Broker: Bootstrap Bill (test2@okadaco.com)
"What's the rent at 247 W 30th St, Suite 3R?",$97.00/SF/year. Monthly Rent is $128897. Broker: Hector Barbossa (test2@okadaco.com)
"What's the rent at 247 W 30th St, Suite 4F?",$91.00/SF/year. Monthly Rent is $129311. Broker: Jack Sparrow (test2@okadaco.com)
"What's the rent at 50 W 17th St, Suite 1000?",$109.00/SF/year. Monthly Rent is $148158. Broker: Davy Jones (test2@okadaco.com)
